Site;Press;Operation;CalageExtra;Passe;Gache;VitesseMax
AEME;AEME-Cartes;Combiné;1,25;100;0;4000
AEME;AEME-Cartes;Galbe à sec;1;100;0;4000
AEME;AEME-Cartes;Gaufrage;0,5833;100;0;4500
AEME;AEME-Cartes;Foulage;0,5;100;0;4500
AEME;AEME-Cartes;Dorure galbée;1,2;100;0;4000
AEME;AEME-Cartes;Dorure;0,5;100;0;4500
AEME;AEME-Cartes;REMBO DIRECT;0,1667;0;0;99999
AEEP;AEEP-Cartes;Combiné;1,25;100;0;4000
AEEP;AEEP-Cartes;Galbe à sec;1;100;0;4000
AEEP;AEEP-Cartes;Gaufrage;0,5833;100;0;4500
AEEP;AEEP-Cartes;Foulage;0,5;100;0;4500
AEEP;AEEP-Cartes;Dorure galbée;1,2;100;0;4000
AEEP;AEEP-Cartes;Dorure;0,5;100;0;4500
AEEP;AEEP-Cartes;REMBO DIRECT;0,1667;0;0;99999
AEBO;AEBO-Cartes;Combiné;1,25;100;0;4000
AEBO;AEBO-Cartes;Galbe à sec;1;100;0;4000
AEBO;AEBO-Cartes;Gaufrage;0,5833;100;0;4500
AEBO;AEBO-Cartes;Foulage;0,5;100;0;4500
AEBO;AEBO-Cartes;Dorure galbée;1,2;100;0;4000
AEBO;AEBO-Cartes;Dorure;0,5;100;0;4500
AEBO;AEBO-Cartes;REMBO DIRECT;0,1667;0;0;99999
AEAT;AEAT-Galaxie;Foulage;0,25;100;0,02;2400
