"Site";"Press";"CodeCouleur";"ReductionVitesse";"PasseMl";"CalageExtraH";"NbCouleurFlexo";"NbCouleurSeri";"NbVernisFlexo";"NbVernisSeri"
"AEBO";"Cartes";"Ni couleur ni vernis";"0";"60";"0.25";"";"";"";""
"AEBO";"Cartes";"1 Couleur Sérigraphie";"0.8";"160";"0.75";"";"1";"";""
"AEBO";"Cartes";"1 Couleur Sérigraphie + 1 Vernis Sérigraphie ";"0.8";"260";"1.25";"";"1";"";"1"
"AEBO";"Cartes";"1 Couleur Flexo";"0";"160";"1.25";"1";"";"";""
"AEBO";"Cartes";"1 Couleur Flexo + 1 Couleur Sérigraphie";"0.8";"260";"1.75";"1";"1";"";""
"AEBO";"Cartes";"1 Couleur Flexo + 1 Vernis Flexo";"0";"260";"1.5";"1";"";"1";""
"AEBO";"Cartes";"1 Couleur Flexo + 1 Vernis Sérigraphie ";"0.8";"260";"1.75";"1";"";"";"1"
"AEBO";"Cartes";"1 Vernis Flexo";"0";"160";"0.5";"";"";"1";""
"AEBO";"Cartes";"1 Couleur Sérigraphie + 1 Vernis Flexo";"0.8";"260";"1";"";"1";"1";""
"AEBO";"Cartes";"1 Vernis Flexo + 1 Vernis Sérigraphie ";"0.8";"260";"1";"";"";"1";"1"
"AEBO";"Cartes";"1 Vernis Sérigraphie ";"0.8";"160";"0.75";"";"";"";"1"
"AEBO";"Cartes";"2 Couleurs Flexo";"0";"260";"2.25";"2";"";"";""
"AEME";"Cartes";"Ni couleur ni vernis";"1";"60";"0.25";"";"";"";""
"AEME";"Cartes";"1 Couleur Sérigraphie";"0.8";"160";"0.75";"";"1";"";""
"AEME";"Cartes";"1 Couleur Flexo";"0";"160";"1.25";"1";"";"";""
"AEME";"Cartes";"1 Couleur Flexo + 1 Couleur Sérigraphie";"0.8";"260";"1.75";"1";"1";"";""
"AEME";"Cartes";"1 Couleur Flexo + 1 Vernis Sérigraphie ";"0.8";"260";"1.75";"1";"";"";"1"
"AEME";"Cartes";"1 Vernis Flexo";"0";"160";"0.75";"";"";"1";""
"AEME";"Cartes";"1 Vernis Flexo + 1 Vernis Sérigraphie ";"0.8";"260";"1.25";"0";"0";"1";"1"
"AEME";"Cartes";"1 Vernis Sérigraphie ";"0.8";"160";"0.75";"";"";"";"1"
