"Nom";"ReductionVitesse";"PourcentPasse";"PasseMl";"CalageExtraH";"PrixMilleClics";"NbCouleurHP";"Site";"Press";"Cle"
"Noir";"0";"0.1";"15";"0.42";"8.52";"2";"AEAT";"HP6000 Offline";"AEAT - Noir"
"Noir+1 Silver";"0";"0.1";"15";"0.42";"28.75";"4";"AEAT";"HP6000 Offline";"AEAT - Noir+1 Silver"
"Noir+1 Blanc";"0";"0.1";"15";"0.42";"10.11";"4";"AEAT";"HP6000 Offline";"AEAT - Noir+1 Blanc"
"Noir+1 Blanc+1 Silver";"0.33";"0.1";"15";"0.42";"23.07";"6";"AEAT";"HP6000 Offline";"AEAT - Noir+1 Blanc+1 Silver"
"Noir+1 Blanc+2 Silvers";"0.5";"0.1";"15";"0.42";"29.55";"8";"AEAT";"HP6000 Offline";"AEAT - Noir+1 Blanc+2 Silvers"
"Noir+1 Blanc+3 Silvers";"0.6";"0.1";"15";"0.42";"33.44";"10";"AEAT";"HP6000 Offline";"AEAT - Noir+1 Blanc+3 Silvers"
"Noir+1 Blanc+4 Silvers";"0.67";"0.1";"15";"0.42";"36.03";"12";"AEAT";"HP6000 Offline";"AEAT - Noir+1 Blanc+4 Silvers"
"Noir+2 Silvers";"0.33";"0.1";"15";"0.42";"35.5";"6";"AEAT";"HP6000 Offline";"AEAT - Noir+2 Silvers"
"Noir+2 Blancs";"0.33";"0.1";"15";"0.42";"10.65";"6";"AEAT";"HP6000 Offline";"AEAT - Noir+2 Blancs"
"Noir+2 Blancs+1 Silver";"0.5";"0.1";"15";"0.42";"20.23";"8";"AEAT";"HP6000 Offline";"AEAT - Noir+2 Blancs+1 Silver"
"Noir+2 Blancs+2 Silvers";"0.6";"0.1";"15";"0.42";"25.98";"10";"AEAT";"HP6000 Offline";"AEAT - Noir+2 Blancs+2 Silvers"
"Noir+2 Blancs+3 Silvers";"0.67";"0.1";"15";"0.42";"29.82";"12";"AEAT";"HP6000 Offline";"AEAT - Noir+2 Blancs+3 Silvers"
"Noir+2 Blancs+4 Silvers";"0.71";"0.1";"15";"0.42";"32.55";"14";"AEAT";"HP6000 Offline";"AEAT - Noir+2 Blancs+4 Silvers"
"Noir+3 Silvers";"0.5";"0.1";"15";"0.42";"38.87";"8";"AEAT";"HP6000 Offline";"AEAT - Noir+3 Silvers"
