"Frontal";"Adhesif";"Backing";"Cle";"PrixM2";"Fournisseur";"RefId"
"Coton blanc";"Permanent PLUS";"Glassine";"Coton blanc / Permanent PLUS / Glassine";"1.8";"MANTER";"805421"
"Coton blanc";"Permanent PLUS";"PET";"Coton blanc / Permanent PLUS / PET";"2.02";"MANTER";"806211"
"Coton blanc";"Permanent";"Glassine";"Coton blanc / Permanent / Glassine";"2.41";"AVERY";"805347"
"Coton extra blanc";"Permanent PLUS";"Glassine";"Coton extra blanc / Permanent PLUS / Glassine";"2.2";"ARCONVERT";"807308"
"Couché Satiné";"Lavable";"Glassine";"Couché Satiné / Lavable / Glassine";"0.79";"UPM";"806706"
"Couché Satiné";"Permanent PLUS";"PET";"Couché Satiné / Permanent PLUS / PET";"0.62";"UPM";"809968"
"Couché Satiné";"Renforcé";"Glassine";"Couché Satiné / Renforcé / Glassine";"0.81";"AVERY";"800848"
"Couché Satiné";"Permanent";"Glassine";"Couché Satiné / Permanent / Glassine";"0.52";"AVERY";"806013"
"Couché Chrome";"Lavable";"Glassine";"Couché Chrome / Lavable / Glassine";"0.98";"AVERY";"808800"
"Couché Chrome";"Permanent PLUS";"Glassine";"Couché Chrome / Permanent PLUS / Glassine";"0.73";"MANTER";"805451"
"Couché Chrome";"Permanent PLUS";"PET";"Couché Chrome / Permanent PLUS / PET";"0.77";"ARCONVERT";"806354"
"Couché mat";"Lavable";"PET";"Couché mat / Lavable / PET";"1";"AVERY";"809516"
"Couché mat";"Permanent";"Glassine";"Couché mat / Permanent / Glassine";"0.7";"AVERY";"802129"
"Couché mat";"Permanent PLUS";"PET";"Couché mat / Permanent PLUS / PET";"0.77";"MANTER";"806354"
"Couché mat";"Renforcé";"Glassine";"Couché mat / Renforcé / Glassine";"1.08";"AVERY";"810552"
"Frozen Orion Diamond";"Lavable";"Glassine";"Frozen Orion Diamond / Lavable / Glassine";"1.7";"AVERY";"810489"
"Frozen Orion Diamond";"Permanent PLUS";"Glassine";"Frozen Orion Diamond / Permanent PLUS / Glassine";"1.64";"AVERY";"808778"
"Sirio Pearl";"Permanent PLUS";"Glassine";"Sirio Pearl / Permanent PLUS / Glassine";"1.75";"MANTER";"805415"
"Sirio Pearl";"Permanent PLUS";"PET";"Sirio Pearl / Permanent PLUS / PET";"1.77";"MANTER";"807868"
"HGWINE P";"Permanent PLUS";"Glassine";"HGWINE P / Permanent PLUS / Glassine";"1.83";"AVERY";"809997"
"HGWINE P";"Permanent";"PET";"HGWINE P / Permanent / PET";"1.66";"AVERY";"810149"
"Velin Grain";"Lavable";"Glassine";"Velin Grain / Lavable / Glassine";"1.23";"AVERY";"808217"
"Velin Grain";"Lavable";"PET";"Velin Grain / Lavable / PET";"1.25";"AVERY";"810778"
"Velin Grain";"Permanent PLUS";"Glassine";"Velin Grain / Permanent PLUS / Glassine";"0.88";"ARCONVERT";"808271"
"Velin Grain";"Permanent PLUS";"PET";"Velin Grain / Permanent PLUS / PET";"0.96";"MANTER";"807962"
"Velin Grain";"Renforcé";"Glassine";"Velin Grain / Renforcé / Glassine";"1.87";"AVERY";"810132"
"Velin Grain Crème";"Permanent PLUS";"Glassine";"Velin Grain Crème / Permanent PLUS / Glassine";"0.75";"MANTER";"809625"
"Velin Grain Extra";"Permanent PLUS";"Glassine";"Velin Grain Extra / Permanent PLUS / Glassine";"0.95";"MANTER";"805460"
"Velin Grain Extra";"Permanent PLUS";"PET";"Velin Grain Extra / Permanent PLUS / PET";"1.6";"MANTER";"807901"
"Freelife MERIDA";"Permanent PLUS";"Glassine";"Freelife MERIDA / Permanent PLUS / Glassine";"1.24";"MANTER";"805476"
"Martelé blanc";"Permanent";"Glassine";"Martelé blanc / Permanent / Glassine";"0.76";"AVERY";"805346"
"Martelé blanc";"Permanent PLUS";"PET";"Martelé blanc / Permanent PLUS / PET";"1.38";"AVERY";"807054"
"Martelé blanc";"Renforcé";"Glassine";"Martelé blanc / Renforcé / Glassine";"1.27";"AVERY";"802521"
"Métallisé Argent";"Permanent PLUS";"Glassine";"Métallisé Argent / Permanent PLUS / Glassine";"0.87";"AVERY";"806235"
"Métallisé Argent";"Renforcé";"Glassine";"Métallisé Argent / Renforcé / Glassine";"0.92";"UPM";"810736"
"Velin Blanc";"Lavable";"Glassine";"Velin Blanc / Lavable / Glassine";"1.01";"AVERY";"809366"
"Velin Blanc";"Lavable";"PET";"Velin Blanc / Lavable / PET";"1.14";"AVERY";"809476"
"Velin Blanc";"Permanent";"Glassine";"Velin Blanc / Permanent / Glassine";"0.66";"AVERY";"810550"
"Velin Blanc";"Permanent PLUS";"Glassine";"Velin Blanc / Permanent PLUS / Glassine";"0.94";"AVERY";"810629"
"Velin Blanc";"Permanent PLUS";"PET";"Velin Blanc / Permanent PLUS / PET";"1.07";"AVERY";"810860"
"Velin Crème";"Lavable";"Glassine";"Velin Crème / Lavable / Glassine";"0.93";"AVERY";"810122"
"Velin Crème";"Permanent";"Glassine";"Velin Crème / Permanent / Glassine";"0.72";"AVERY";"805770"
"Velin Extra Blanc";"Permanent PLUS";"Glassine";"Velin Extra Blanc / Permanent PLUS / Glassine";"1.1";"MANTER";"806077"
